C_ID,T_ID,Text,Completion
94,0,살면서 가장 어려웠던 선택이 뭐야?,
95,0,인생에서 가장 중요한 순간이 언제였어?,
96,0,거울을 보면 어떤 생각이 들어?,
97,0,10년 전 너에게 해주고 싶은 말이 있다면?,
98,0,만약 영화같은 삶이 있다면 어떨거 같아?,
99,0,최근에 다른 사람 때문에 마음이 속상한 적이 있어?,
100,0,작년이나 올해 첫눈을 보고 어떤 생각을 했어?,
101,0,너를 편하게 해주는 사람이 있다면 누구야?,
102,0,최근에 감동받은 적이 언제야?,
103,0,너의 삶에서 가장 중요한 가치가 뭐야?,
104,0,가장 자랑스러운 순간이 언제야?,
105,0,지우고 싶은 과거가 있어?,
106,0,가장 부끄러웠던 순간이 언제야?,
107,0,너에게 가장 예민한 감각이 어떤것이야?,
108,0,너가 한 선택 중 가장 잘한 선택이 뭐야?,
109,0,너는 도덕적인 사람이야?,
110,0,너가 친해지고 싶은 사람들이 있다면 어떤 유형이야?,
111,0,너는 남에게 공감을 잘 하는 편이야?,
112,0,너는 MBTI가 어떻게 돼?,
113,0,새롭게 도전하고 싶은게 있어?,
114,0,살면서 가장 기이했던 경험이 뭐야?,
115,0,타인과 지켜야 할 선의 기준은 무엇이라고 생각해?,
116,0,누군가에게 말하고 싶지만 용기가 나지 않는 것이 있어?,
117,0,좋아하기 위해 노력했지만 그럴 수 없었던 것이 있어?,
118,0,최선을 다하는 삶이란 무엇이라고 생각해?,
119,0,너의 삶을 지탱해 주고 있는 요소나 사람이 있어?,
120,0,살면서 한 번쯤 도전하고 싶은 일이 있어?,
121,0,너의 인생을 영화로 만든다면 꼭 넣고 싶은 장면이 있어?,
122,0,너의 버킷리스트 중 3가지를 말해줘,
123,0,들었던 말들 중 가장 기억에 남는 말이 뭐야?,
